id,block,room,dormNumber,student_id
1,中二,103,中二#103,211706001
2,中二,104,中二#104,211706002
3,中二,105,中二#105,211706003
4,中二,106,中二#106,211706004
5,中二,107,中二#107,211706005
6,中二,108,中二#108,211706006
7,中二,111,中二#111,211706007
8,中二,112,中二#112,211706008
9,中二,113,中二#113,211706009
10,中二,114,中二#114,211706010
11,中二,115,中二#115,211706011
12,中二,116,中二#116,211706012
13,中二,117,中二#117,211706013
14,中二,118,中二#118,211706014
15,中二,119,中二#119,211706015
16,中二,120,中二#120,211706016
17,中二,121,中二#121,211706017
18,中二,122,中二#122,211706018
19,中二,123,中二#123,211706019
20,中二,201,中二#201,211706020
21,中二,202,中二#202,211706021
22,中二,203,中二#203,211706022
23,中二,204,中二#204,211706023
24,中二,205,中二#205,211706024
25,中二,206,中二#206,211706025
26,中二,207,中二#207,211706026
27,中二,208,中二#208,211706027
28,中二,209,中二#209,211706028
29,中二,210,中二#210,211706029
30,中二,213,中二#213,211706030
31,中二,214,中二#214,211706031
32,中二,215,中二#215,211706032
33,中二,216,中二#216,211706033
34,中二,217,中二#217,211706034
35,中二,218,中二#218,211706035
36,中二,219,中二#219,211706036
37,中二,220,中二#220,211706037
38,中二,221,中二#221,211706038
39,中二,222,中二#222,211706039
40,中二,223,中二#223,211706040
41,中二,224,中二#224,211706041
42,中二,225,中二#225,211706042
43,中二,301,中二#301,211706043
44,中二,302,中二#302,211706044
45,中二,303,中二#303,211706045
46,中二,304,中二#304,211706046
47,中二,305,中二#305,211706047
48,中二,306,中二#306,211706048
49,中二,307,中二#307,211706049
50,中二,308,中二#308,211706050
51,中二,309,中二#309,211706051
52,中二,310,中二#310,211706052
53,中二,313,中二#313,211706053
54,中二,314,中二#314,211706054
55,中二,325,中二#325,211706055
56,中二,411,中二#411,211706056
57,东二,410,东二#410,211706057
58,东二,411,东二#411,211706058
59,东二,412,东二#412,211706059
60,东二,413,东二#413,211706060
61,东二,414,东二#414,211706061
62,东二,415,东二#415,211706062
63,东二,416,东二#416,211706063
64,东二,417,东二#417,211706064
65,东二,418,东二#418,211706065
66,东二,419,东二#419,211706066
67,东二,421,东二#421,211706067
68,东二,422,东二#422,211706068
69,东二,423,东二#423,211706069
70,东二,424,东二#424,211706070
71,东二,425,东二#425,211706071
72,东二,426,东二#426,211706072
